ID,NAME,us_city,us_state_code,SOURCE
BOI,"AIR TERM. (GOWEN FLD) BOISE, ID",BOISE,ID,Udacity
BOO,"Boothbay Harbor, ME",Boothbay Harbor,ME,State Department
BOS,"Boston, MA",Boston,MA,State Department
BQN,"BORINQUEN - AGUADILLO, PR",AGUADILLO,PR,Udacity
BRG,"Burlington, VT",Burlington,VT,State Department
BRO,"Brownsville, TX",Brownsville,TX,State Department
BRU,"Brunswick, GA",Brunswick,GA,State Department
BTC,"BP TACTICAL UNIT, TX",El Paso,TX,Udacity
BTM,"Butte, MT",Butte,MT,State Department
BTN,"Baton Rouge, LA",Baton Rouge,LA,State Department
BUF,"Buffalo, NY",Buffalo,NY,State Department
BUR,"BURBANK, CA",BURBANK,CA,Udacity
BUS,Collapsed (BUF) 06/15,Buffalo,NY,Udacity
BWA,"Boundary, WA",Boundary,WA,State Department
BWM,"Bridgewater, ME",Bridgewater,ME,State Department
BYO,"BAYONNE, NJ",BAYONNE,NJ,Udacity
BZN,"GALLATIN FIELD - BOZEMAN, MT",BOZEMAN,MT,Udacity
CAE,"COLUMBIA, SC #ARPT",COLUMBIA,SC,Udacity
CAK,"AKRON, OH",AKRON,OH,Udacity
CAL,"Calexico, CA",Calexico,CA,State Department
CAN,"Cape Canaveral, FL",Cape Canaveral,FL,State Department
CAO,"CAMPO, CA",CAMPO,CA,Udacity
CAP,"Cape Vincent, NY",Cape Vincent,NY,State Department
CAR,"CARIBOU MUNICIPAL AIRPORT, MN",Caribou,MN,Udacity
CBH,"Churubusco, IN",Churubusco,IN,State Department
CDD,"CRANE LAKE - ST. LOUIS CNTY, NM",Crane Lake,NM,Udacity
CHA,"Charlotte Amalie, St. Thomas, VI",Charlotte Amalie,VI,State Department
CHF,"Chief Mountain, MT",Chief Mountain,MT,State Department
CHI,"Chicago, IL",Chicago,IL,State Department
CHL,"Charleston, SC",Charleston,SC,State Department
CHM,"Champlain, NY",Champlain,NY,State Department
CHN,No PORT Code (CHN),,,Udacity
CHO,"ALBEMARLE CHARLOTTESVILLE, VA",Charlottesville,VA,Udacity
CHR,"Christiansted, St. Croix, VI",Christiansted,VI,State Department
CHS,"CHARLESTON, WV",CHARLESTON,WV,Udacity
CHT,"Chateaugay, NY",Chateaugay,NY,State Department
CID,"CEDAR RAPIDS/IOWA CITY, IA",Cedar Rapids,IA,Udacity
CIN,"Cincinnati, OH",Cincinnati,OH,State Department
CLA,"Clayton, NY",Clayton,NY,State Department
CLE,"Cleveland, OH",Cleveland,OH,State Department
CLG,"Calgary, Alberta Canada",,,State Department
CLK,"CLARKSBURG, WV",CLARKSBURG,WV,Udacity
CLM,"COLUMBUS, OH",COLUMBUS,OH,Udacity
CLS,"Calais, ME",Calais,ME,State Department
CLT,"Charlotte, NC",Charlotte,NC,State Department
CLX,No PORT Code (CLX),,,Udacity
CNA,"Canaan, VT",Canaan,VT,State Department
CNC,"Cannon Corners, NY",Cannon Corners,NY,State Department
CND,"KOGALNICEANU, ROMANIA",,,Udacity
CNH,"CANNON CORNERS, NY",CANNON CORNERS,NY,Udacity
CNJ,"Camden, NJ",Camden,NJ,State Department
COB,"Coburn Gore, ME",Coburn Gore,ME,State Department
COL,"Columbus, NM",Columbus,NM,State Department
COO,"Coos Bay, OR",Coos Bay,OR,State Department
COR,"Corpus Christi, TX",Corpus Christi,TX,State Department
COS,"COLORADO SPRINGS, CO",COLORADO SPRINGS,CO,Udacity
COW,"HQ, Washington DC",Washington,DC,State Department
CP,No PORT Code (CP),,,Udacity
CPX,No PORT Code (CPX),,,Udacity
CRA,"Crane Lake, MN",Crane Lake,MN,State Department
CRB,"Caribou, ME",Caribou,ME,State Department
CRL,"CARLSBAD, NM",CARLSBAD,NM,Udacity
CRP,"CORPUS CHRISTI, TX",CORPUS CHRISTI,TX,Udacity
CRQ,"CARAVELAS, BA #ARPT, BRAZIL",,,Udacity
CRU,"Cruz Bay, St. John, VI",Cruz Bay,VI,State Department
CRY,"Carbury, ND",Carbury,ND,State Department
CSP,"Casper, WY",Casper,WY,State Department
CTB,"CUT BANK MUNICIPAL, MT",Cut Bank,MT,Udacity
CUN,"CANCUN, MEXICO",,,Udacity
CUR,"CURLEW, WA (BPS)",CURLEW,WA,Udacity
CUT,"Cut Bank, MT",Cut Bank,MT,State Department
CXO,No PORT Code (CXO),,,Udacity
DAA,"DAVISON AAF - FAIRFAX CNTY, VA",Fort Belvoir,VA,Udacity
DAB,"DAYTONA BEACH INTERNATIONAL, FL",DAYTONA BEACH,FL,Udacity
DAC,"Dalton Cache, AK",Dalton Cache,AK,State Department
DAL,"Dallas, TX",Dallas,TX,State Department
DAY,No PORT Code (DAY),,,Udacity
DBL,"Dublin, Ireland",,,State Department
DCA,"Detroit, MI",Detroit,MI,State Department
DCB,"Detroit, Ambassador Bridge",Detroit,MI,State Department
DCT,"Detroit, Windsor Tunnel",Detroit,MI,State Department
DEC,No PORT Code (DEC),,,Udacity
DEN,"Denver, CO",Denver,CO,State Department
DER,"Del Rio, TX",Del Rio,TX,State Department
DET,"Detroit, MI",Detroit,MI,State Department
DIB,"Detroit, MI",Detroit,MI,State Department
DLB,"Del Bonita, MT",Del Bonita,MT,State Department
DLR,"Del Rio, TX",Del Rio,TX,State Department
DLV,"DERBY LINE, VT (RT. 5)",DERBY LINE,VT,Udacity
DMA,"Detroit, MI",Detroit,MI,State Department
DNA,"Donna, TX",Donna,TX,State Department
DNM,"DEMING, NM (BPS)",DEMING,NM,Udacity
DNS,"Dunseith, ND",Dunseith,ND,State Department
DOU,"Douglas, AZ",Douglas,AZ,State Department
DOV,"DOVER AFB, DE",DOVER,DE,Udacity
DPA,"DUPAGE COUNTY, IL",Chicago,IL,Udacity
DRO,"LA PLATA - DURANGO, CO",Durango,CO,Udacity
DRV,No PORT Code (DRV),,,Udacity
DSM,"Des Moines, IA",Des Moines,IA,State Department
DTH,"DUTCH HARBOR, AK",DUTCH HARBOR,AK,Udacity
DUB,"DUBLIN, IRELAND",,,Udacity
DUL,"Duluth, MN",Duluth,MN,State Department
DUR,"LOUIS BOTHA, SOUTH AFRICA",,,Udacity
DVD,"Dover, AFB DE",Dover,DE,State Department
DVL,"Danville, WA",Danville,WA,State Department
EDA,"Edmonton, AB Canada",,,State Department
EDN,"South Texas, IAP at Edinburg",Edinburg,TX,State Department
EGE,No PORT Code (EGE),,,Udacity
EGL,"EAGLE, AK",EAGLE,AK,Udacity
EGP,"Eagle Pass, TX",Eagle Pass,TX,State Department
ELM,"REGIONAL ARPT - HORSEHEAD, NY",HORSEHEAD,NY,Udacity
ELP,"El Paso, TX",El Paso,TX,State Department
ELY,"Ely, MN",Ely,MN,State Department
ENS,"Ensenada, PR",Ensenada,PR,State Department
EPI,"Eastport, ID",Eastport,ID,State Department
EPM,"Eastport, ME",Eastport,ME,State Department
EPT,"EASTPORT MUNICIPAL, ME",EASTCOURT,ME,Udacity
ERC,"East Richford, VT",East Richford,VT,State Department
ERI,"Erie, PA",Erie,PA,State Department
EST,"EASTCOURT, ME",EASTCOURT,ME,Udacity
EUR,"EUREKA, MT (BPS)",EUREKA,MT,Udacity
EVE,"Everett, WA",Everett,WA,State Department
EZE,"BUENOS AIRES, MINISTRO PIST, ARGENTINA",,,Udacity
FAB,"Fabens, TX",Fabens,TX,State Department
FAJ,"Fajardo, PR",Fajardo,PR,State Department
FAL,"Falcon Dam, TX",Falcon Dam,TX,State Department
FAR,"Fargo, ND",Fargo,ND,State Department
FAY,"FAYETTEVILLE, NC",FAYETTEVILLE,NC,Udacity
FBA,"Freeport, Bahamas",,,State Department
FCA,"GLACIER NATIONAL PARK, MT",West Glacier,MT,Udacity
FDE,"Eagle Pass, Fort Duncan Bridge",Eagle Pass,TX,State Department
FER,"Ferry, WA",Ferry,WA,State Department
FHK,"Fort Hancock, TX",Fort Hancock,TX,State Department
FLX,"FALLON MUNICIPAL AIRPORT, NV",FALLON,NV,Udacity
FMY,"FORT MYERS, FL",FORT MYERS,FL,Udacity
FOK,"SUFFOLK COUNTY, NY",Long Island,NY,Udacity
FOP,"MORRIS FIELDS AAF, NC",Charlotte,NC,Udacity
FOR,"FOREST CITY, ME",FOREST CITY,ME,Udacity
FOU,"FOUGAMOU #ARPT, GABON",,,Udacity
FPF,"FORT PIERCE, FL",FORT PIERCE,FL,Udacity
FPR,"ST LUCIE COUNTY, FL",Fort Pierce,FL,Udacity
FPT,"Freeport, TX",Freeport,TX,State Department
FRB,"Fairbanks, AK",Fairbanks,AK,State Department
FRE,"Fresno, CA",Fresno,CA,State Department
FRG,Collapsed (FOK) 06/15,Long Island,NY,Udacity
FRI,"Friday Harbor, WA",Friday Harbor,WA,State Department
FRK,"Frederiksted, St. Croix, VI",Frederiksted,VI,State Department
FRN,"Fernandina, FL",Fernandina,FL,State Department
FRT,"Fortuna, ND",Fortuna,ND,State Department
FSC,No PORT Code (FSC),,,Udacity
FTB,No PORT Code (FTB),,,Udacity
FTC,"Fort Covington, NY",Fort Covington,NY,State Department
FTF,"Fort Fairfield, ME",Fort Fairfield,ME,State Department
FTH,"Fort Hancock, NM",Fort Hancock,NM,State Department
FTK,"Fort Kent, ME",Fort Kent,ME,State Department
FTL,"Fort Lauderdale, FL",Fort Lauderdale,FL,State Department
FTM,"Fort Meyers, FL",Fort Meyers,FL,State Department
FTP,"Fort Pierce, FL",Fort Pierce,FL,State Department
FWA,"Frontier, WA",Frontier,WA,State Department
GAC,No PORT Code (GAC),,,Udacity
GAL,"Galveston, TX",Galveston,TX,State Department
GAR,"Gary, IN",Gary,IN,State Department
GCM,"GRAND CAYMAN, CAYMAN ISLAND",,,Udacity
GDL,"GUADALAJARA, MIGUEL HIDAL, MX",,,Udacity
GEO,"Georgetown, SC",Georgetown,SC,State Department
GGW,"Glasgow, MT",Glasgow,MT,State Department
GLO,"Gloucester, MA",Gloucester,MA,State Department
GLP,"Gulfport, MS",Gulfport,MS,State Department
GMT,No PORT Code (GMT),,,Udacity
GNV,"J R ALISON MUNI - GAINESVILLE, FL",GAINESVILLE,FL,Udacity
GPI,No PORT Code (GPI),,,Udacity
GPM,"Grand Portage, MN",Grand Portage,MN,State Department
GPT,"BILOXI REGIONAL, MS",Gulfport,MS,Udacity
GRB,"Green Bay, WI",Green Bay,WI,State Department
GRE,"Great Falls, MT",Great Falls,MT,State Department
GRF,"Grand Forks, ND",Grand Forks,ND,State Department
GRO,"Grosse Isle, MI",Grosse Isle,MI,State Department
GRP,"Grand Rapids, MI Kent County Intl Airport",Grand Rapids,MI,State Department
GRR,"Greer, SC",Greer,SC,State Department
GRT,"Groton, CT",Groton,CT,State Department
GRU,"GUARULHOS INTL, SAO PAULO, BRAZIL",,,Udacity
GSN,"Saipan Island, Saipan Intl Arpt, MP, USA",Saipan,MP,State Department
GSO,"PIEDMONT TRIAD INTL AIRPORT, NC",Greensboro,NC,Udacity
GSP,"GREENVILLE, SC",GREENVILLE,SC,Udacity
GTF,"Collapsed into INT, MN",Great Falls,MT,Udacity
GTR,"GOLDEN TRIANGLE LOWNDES CNTY, MS",COLUMBUS,MS,Udacity
GTW,"Brownsville, Gateway Bridge",Brownsville,TX,State Department
GUL,"Gulfport, MS",Gulfport,MS,State Department
HAI,"Haines, AK",Haines,AK,State Department
HAL,"Halifax, Nova Scotia",,,State Department
HAM,"Hamilton, Bermuda",,,State Department
HAR,"Harrisburg, PA",Harrisburg,PA,State Department
HEF,"MANASSAS, VA #ARPT",MANASSAS,VA,Udacity
HEL,"Helena, MT",Helena,MT,State Department
HHW,"Honolulu, HI",Honolulu,HI,State Department
HID,"Hidalgo, TX",Hidalgo,TX,State Department
HIG,"Highgate Springs, VT",Highgate Springs,VT,State Department
HIL,"SHILLAVO, ETHIOPIA",,,Udacity
HIO,"HILLSBORO, OR",HILLSBORO,OR,Udacity
HLG,"Harlingen, TX",Harlingen,TX,State Department
HML,"Hamlin, ME",Hamlin,ME,State Department
HMM,"Hammond, IN",Hammond,IN,State Department
HMO,"GEN PESQUEIRA GARCIA, MX",,,Udacity
HNN,"Hannah, ND",Hannah,ND,State Department
HNS,"Hansboro, ND",Hansboro,ND,State Department
HOB,"Hoboken, NJ",Hoboken,NJ,State Department
HOM,"Homer, AK",Homer,AK,State Department
HON,"HOWES REGIONAL ARPT - HURON, SD",HURON,SD,Udacity
HOP,"Hopewell, VA",Hopewell,VA,State Department
HOU,"Houston, TX",Houston,TX,State Department
HPN,"WESTCHESTER - WHITE PLAINS, NY",WHITE PLAINS,NY,Udacity
HRL,Collapsed (HLG) 06/15,Harlingen,TX,Udacity
HSB,"Harrisburg, PA",Harrisburg,PA,State Department
HSV,"MADISON COUNTY - HUNTSVILLE, AL",HUNTSVILLE,AL,Udacity
HTM,"Houlton, ME",Houlton,ME,State Department
HUM,"Humacao, PR",Humacao,PR,State Department
HUR,"HURLBURT FIELD, FL",HURLBURT FIELD,FL,Udacity
HVR,"Wild Horse, MT",Wild Horse,MT,State Department
HYD,"Hyder, AK",Hyder,AK,State Department
IAG,Collapsed (NIA) 06/15,Niagara Falls,NY,Udacity
ICN,"INCHON, SEOUL KOREA",,,Udacity
ICP,"IMPERIAL COUNTY, CA",Imperial,CA,Udacity
ICT,"MID-CONTINENT - WITCHITA, KS",WITCHITA,KS,Udacity
IDA,"FANNING FIELD - IDAHO FALLS, ID",IDAHO FALLS,ID,Udacity
IND,Los Indios,Los Indios,TX,State Department
INL,"Collapsed into INT, MN",International Falls,MN,Udacity
INP,"Indianapolis, IN",Indianapolis,IN,State Department
INT,"International Falls, MN",International Falls,MN,State Department
ISB,"Port Isabel, TX",Port Isabel,TX,State Department
ISL,"Isle Royale, MI",Isle Royale,MI,State Department
ISP,Collapsed (FOK) 06/15,Long Island,NY,Udacity
IVP,"Calexico, Truck Crossing",Calexico,CA,State Department
IWA,"INVALID - IWAKUNI, JAPAN",,,Udacity
JAC,"Jacksonville, FL",Jacksonville,FL,State Department
JAN,"THOMPSON FIELD - JACKSON, MS",JACKSON,MS,Udacity
JBQ,No PORT Code (JBQ),,,Udacity
