ID,NAME,us_city,us_state_code,SOURCE
NEC,"Neche, ND",Neche,ND,State Department
NEW,"Newark, NJ",Newark,NJ,State Department
NGL,No PORT Code (NGL),,,Udacity
NIA,"Niagara Falls, NY",Niagara Falls,NY,State Department
NIG,"Nighthawk, WA",Nighthawk,WA,State Department
NIK,"Nikiski, AK",Nikiski,AK,State Department
NK,No PORT Code (NK),,,Udacity
NOG,"Nogales, AZ",Nogales,AZ,State Department
NOL,"New Orleans, LA",New Orleans,LA,State Department
NOM,"Nome, AK",Nome,AK,State Department
NOO,"Noonan, ND",Noonan,ND,State Department
NOR,"Norfolk, VA",Norfolk,VA,State Department
NOY,"Noyes, MN",Noyes,MN,State Department
NPT,"NEWPORT, OR",NEWPORT,OR,Udacity
NPV,"Newport, VT",Newport,VT,State Department
NPW,"Northport, WA",Northport,WA,State Department
NRG,"Northgate, ND",Northgate,ND,State Department
NRN,"Norton, VT",Norton,VT,State Department
NRT,"North Troy, VT",North Troy,VT,State Department
NSV,"Nashville, TN",Nashville,TN,State Department
NWH,"New Haven, CT",New Haven,CT,State Department
NWL,"New London, CT",New London,CT,State Department
NWN,"Newport News, VA",Newport News,VA,State Department
NYC,"New York, NY",New York,NY,State Department
NYL,No PORT Code (NYL),,,Udacity
OAI,No PORT Code (OAI),,,Udacity
OAK,"Oakland, CA",Oakland,CA,State Department
OGD,"Ogdensburg, NY",Ogdensburg,NY,State Department
OGG,"KAHULUI - MAUI, HI",Kahului,HI,Udacity
OGS,No PORT Code (OGS),,,Udacity
OKC,"Oklahoma City, OK",Oklahoma City,OK,State Department
OLM,No PORT Code (OLM),,,Udacity
OLY,"Olympia, WA",Olympia,WA,State Department
OMA,"Omaha, NE",Omaha,NE,State Department
ONT,"ONTARIO, CA",ONTARIO,CA,Udacity
OPF,"OPA LOCKA, FL",Miami,FL,Udacity
OPH,"Opheim, MT",Opheim,MT,State Department
ORI,"PORT LIONS SPB, AK",Port Lions,AK,Udacity
ORL,"Orlando, FL",Orlando,FL,State Department
ORO,"Oroville, WA",Oroville,WA,State Department
OSN,No PORT Code (OSN),,,Udacity
OSW,"Oswego, NY",Oswego,NY,State Department
OTM,"Otay Mesa POE, CA",Otay Mesa,CA,State Department
OTS,No PORT Code (OTS),,,Udacity
OTT,"Ottawa,ÊCanada",,,State Department
PAN,"Panama City, FL",Panama City,FL,State Department
